Ref,Pr ,Ra,Nu,Re,Aspect_ratio,Shape,Boundary_conditions,
,1.51,3.47E+11,432.2,,4,0,0,
,1.45,3.96E+11,442.5,,4,0,0,
Ref-8,0.02,5.00E+05,4.48,2440,1,1,0,
,0.02,1.00E+06,5.78,3200,1,1,0,
,0.02,2.00E+06,6.9,4290,1,1,0,
,0.02,5.00E+06,8.85,6650,1,1,0,
,0.02,1.00E+07,10.3,9420,1,1,0,
,0.1,5.00E+05,6.11,749,1,1,0,
,0.1,1.00E+06,7.34,1030,1,1,0,
,0.1,2.00E+06,8.85,1380,1,1,0,
,0.1,5.00E+06,11.3,2090,1,1,0,
,0.1,1.00E+07,13.9,2870,1,1,0,
,0.1,2.00E+07,16.4,3870,1,1,0,
,0.1,5.00E+07,20.8,6020,1,1,0,
,0.1,1.00E+08,26.7,9140,1,1,0,
,0.5,1.00E+06,8.38,285,1,1,0,
,0.5,3.00E+06,11.4,482,1,1,0,
,0.5,1.00E+07,15.9,874,1,1,0,
,0.5,3.00E+07,21.6,1480,1,1,0,
,0.5,1.00E+08,30.6,2610,1,1,0,
,1,1.00E+06,8.18,147,1,1,0,
,1,2.00E+06,10.1,213,1,1,0,
,1,5.00E+06,13.3,340,1,1,0,
,1,1.00E+07,16.3,491,1,1,0,
,1,2.00E+07,19.8,702,1,1,0,
,1,5.00E+07,26,1100,1,1,0,
,1,1.00E+08,31.4,1530,1,1,0,
,1,2.00E+08,38.6,2170,1,1,0,
,1,5.00E+08,49.2,3330,1,1,0,
,1,1.00E+09,61.2,4700,1,1,0,
,1,2.00E+09,76.8,6580,1,1,0,
,6.8,1.00E+06,7.9,24.9,1,1,0,
,6.8,2.00E+06,9.46,35.6,1,1,0,
,6.8,5.00E+06,12.9,59.7,1,1,0,
,6.8,1.00E+07,15.9,89.2,1,1,0,
,6.8,2.00E+07,19.5,128,1,1,0,
,6.8,5.00E+07,26.1,217,1,1,0,
,6.8,1.00E+08,31.6,314,1,1,0,
,6.8,2.00E+08,38.5,452,1,1,0,
,6.8,5.00E+08,50.5,729,1,1,0,
,6.8,1.00E+09,65.7,1070,1,1,0,
,6.8,2.00E+09,77,1520,1,1,0,
,6.8,5.00E+09,101,2400,1,1,0,
,50,1.00E+06,8.17,3.53,1,1,0,
,50,2.00E+06,9.66,5.19,1,1,0,
,50,5.00E+06,13.8,9.38,1,1,0,
,50,1.00E+07,16.7,14,1,1,0,
,50,2.00E+07,20.2,21.1,1,1,0,
,50,5.00E+07,26.4,35.2,1,1,0,
,50,1.00E+08,31.8,50.8,1,1,0,
,50,2.00E+08,38.7,76.4,1,1,0,
,50,5.00E+08,51.8,137,1,1,0,
,50,1.00E+09,61.5,202,1,1,0,
,100,1.00E+06,7.94,1.8,1,1,0,
,100,2.00E+06,10.4,2.78,1,1,0,
,100,5.00E+06,13.9,4.9,1,1,0,
,100,1.00E+07,16.8,7.02,1,1,0,
,100,2.00E+07,20.1,9.91,1,1,0,
,100,5.00E+07,26.1,17.1,1,1,0,
,100,1.00E+08,31.8,26,1,1,0,
,100,2.00E+08,39.1,37.5,1,1,0,
,100,5.00E+08,49.7,71.4,1,1,0,
Ref-9,0.021,5.00E+05,5.2,,1,2,0,
,0.021,5.00E+05,5.2,,1,2,0,
,0.021,1.00E+06,6.3,,1,2,0,
,0.021,1.00E+06,6.3,,1,2,0,
,0.021,1.00E+07,10.8,,1,2,0,
,0.021,1.00E+07,11.1,,1,2,0,
,0.021,1.00E+08,19.6,,1,2,0,
,0.021,1.00E+09,35.4,,1,2,0,
,0.021,1.00E+09,36.2,,1,2,0,
Ref-10,100,1.00E+05,9.8,,1,1,1,
,100,2.00E+05,11.3,,1,1,1,
,100,6.50E+05,17.3,,1,1,1,
,100,2.00E+06,24.1,,1,1,1,
,100,5.00E+06,31,,1,1,1,
,100,1.00E+07,38.1,,1,1,1,
,1000,6.50E+04,8.6,,1,1,1,
,1000,1.00E+05,9.8,,1,1,1,
,1000,2.00E+05,12.1,,1,1,1,
,1000,3.20E+05,14.1,,1,1,1,
,1000,2.00E+06,24.3,,1,1,1,
,1000,6.00E+06,34.2,,1,1,1,
,100,1.00E+04,2.2,,1,2,0,
,100,1.00E+05,3.9,,1,2,0,
,100,1.00E+06,7.1,,1,2,0,
,100,1.00E+07,14.4,,1,2,0,
,100,5.00E+07,22.6,,1,2,0,
Ref-11,0.787,4.91E+11,439.4,,1,0,0,
,0.787,6.14E+11,472.17,,1,0,0,
,0.787,3.69E+11,401.83,,1,0,0,
Ref-12,2547.9,1.00E+05,4.7,,1,0,0,
,2547.9,1.00E+06,7.6,,1,0,0,
,2547.9,1.00E+07,13.2,,1,0,0,
,2547.9,1.00E+08,25.6,,1,0,0,
,2547.9,1.00E+09,52.9,,1,0,0,
,2547.9,1.00E+09,52.9,,1,0,0,
Ref-13,0.7,3.00E+05,5.8,116,1,0,0,
,0.7,5.00E+05,6.9,151,1,0,0,
,0.7,7.00E+05,7.78,179,1,0,0,
,0.7,1.00E+06,8.65,214,1,0,0,
,0.7,5.00E+06,13.79,483,1,0,0,
,0.7,1.00E+07,16.77,675,1,0,0,
,0.7,5.00E+07,25.8,1490,1,0,0,
,0.7,1.00E+08,31.4,2072,1,0,0,
,0.7,1.00E+08,31.1,2310,3,0,0,
,0.7,1.00E+09,63,6240,1,0,0,
,0.7,1.00E+10,127,19300,1,0,0,
Ref-14,0.7,1.00E+07,16.7,682,1,0,0,
,0.7,5.00E+07,25.9,1444,1,0,0,
,0.7,1.00E+08,31.7,2036,1,0,0,
,0.7,5.00E+08,52.4,4530,1,0,0,
,0.7,1.00E+09,65,6255,1,0,0,
Ref-15,0.71,1000,1.655923908,,1,0,0,
,0.71,5000,3.839551179,,1,0,0,
,0.71,10000,4.967053339,,1,0,0,
,0.71,100000,10.90137861,,1,0,0,
,0.71,1000000,20.63499262,,1,0,0,
,0.71,10000,3.480177482,,1,0,0,
,0.71,13000,3.857632138,,1,0,0,
,0.71,14000,3.966296456,,1,0,0,
,0.71,14500,4.018120602,,1,0,0,
,0.71,15000,4.068444229,,1,0,0,
,0.71,20000,4.500923584,,1,0,0,
,0.71,30000,5.193228227,,1,0,0,
,0.71,10000,1.842591323,,1,0,0,
,0.71,20000,2.563927561,,1,0,0,
,0.71,30000,3.002641693,,1,0,0,
,0.71,40000,3.34442675,,1,0,0,
,0.71,50000,3.631133338,,1,0,0,
,0.71,60000,3.877220918,,1,0,0,
,0.71,80000,4.29248811,,1,0,0,
,0.71,100000,4.636206293,,1,0,0,
,0.71,120000,4.931502806,,1,0,0,
,0.71,150000,5.309760001,,1,0,0,
,0.71,170000,5.533605003,,1,0,0,
,0.71,180000,5.642725279,,1,0,0,
,0.71,185000,5.694381828,,1,0,0,
,0.71,187000,5.714079441,,1,0,0,
,0.71,188000,5.72335142,,1,0,0,
,0.71,190000,5.743064655,,1,0,0,
,0.71,200000,5.81733747,,1,0,0,
,0.71,21000,1.9,,1,0,0,
,0.71,22000,1.916877918,,1,0,0,
,0.71,100000,3.426740947,,1,0,0,
,0.71,500000,5.822827936,,1,0,0,
,0.71,600000,6.167986774,,1,0,0,
,0.71,601000,6.164648339,,1,0,0,
,0.71,605000,6.18,,1,0,0,
,0.71,610000,6.200040117,,1,0,0,
,0.71,620000,6.23,,1,0,0,
,0.71,630000,6.3,,1,0,0,
,0.71,660000,6.35,,1,0,0,
,0.71,680000,6.401325613,,1,0,0,
,0.71,700000,6.5,,1,0,0,
,0.71,600000,2.261794044,,1,0,0,
,0.71,800000,2.540965161,,1,0,0,
,0.71,1000000,2.764967104,,1,0,0,
,0.71,2.00E+06,3.524284151,,1,0,0,
,0.71,2.10E+06,3.582012882,,1,0,0,
,0.71,2.20E+06,3.637354477,,1,0,0,
,0.71,2.50E+06,3.742971959,,1,0,0,
,0.71,3.00E+06,3.901296201,,1,0,0,
Ref-16,0.72,5.39E+10,247.84,,1,3,0,
,0.72,4.08E+10,218.29,,1,3,0,
,0.72,8.29E+10,300.13,,1,3,0,
,0.72,9.31E+10,304.47,,1,3,0,
,0.72,1.26E+11,336.7,,1,3,0,
,0.72,1.30E+11,346.98,,1,3,0,
,0.72,1.88E+11,397.29,,1,3,0,
,0.72,5.06E+10,245.18,,1,3,0,
,0.72,3.74E+10,214.77,,1,3,0,
,0.72,6.63E+10,273.17,,1,3,0,
,0.72,8.13E+10,293.46,,1,3,0,
,0.72,7.73E+10,288.68,,1,3,0,
,0.72,1.13E+11,332.7,,1,3,0,
,0.72,9.65E+10,316.53,,1,3,0,
,0.72,1.61E+11,371.27,,1,3,0,
,0.72,2.36E+11,411.38,,1,3,0,
,0.72,2.65E+11,435.29,,1,3,0,
,0.72,5.22E+09,108.04,,2,3,0,
,0.72,4.10E+09,98.02,,2,3,0,
,0.72,2.78E+09,86.88,,2,3,0,
,0.72,1.96E+09,75.63,,2,3,0,
,0.72,5.27E+09,103.17,,2,3,0,
,0.72,6.18E+09,113.8,,2,3,0,
,0.72,8.80E+09,132.14,,2,3,0,
,0.72,1.31E+10,147.26,,2,3,0,
,0.72,1.60E+10,155.76,,2,3,0,
,0.72,8.12E+09,123.96,,2,3,0,
,0.72,1.35E+10,153.56,,2,3,0,
,0.72,9.97E+09,139.66,,2,3,0,
,0.72,1.64E+10,158.64,,2,3,0,
,0.72,3.20E+09,92.55,,2,3,0,
,0.72,2.74E+09,89.73,,2,3,0,
,0.72,1.93E+10,173.19,,2,3,0,
,0.72,2.49E+10,197.02,,2,3,0,
,0.72,2.82E+10,204.83,,2,3,0,
,0.72,3.37E+10,220.73,,2,3,0,
,0.72,4.68E+10,231.03,,0.61,3,0,
,0.72,7.44E+10,272.73,,0.61,3,0,
,0.72,9.57E+10,292.39,,0.61,3,0,
